#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
chebi:"CHEBI:227409"	uniprotkb:P13612	-	-	chembl:CHEMBL312263|unknown:"InChI=1S/C31H30Cl2N2O7S/c32-24-16-25(33)18-26(17-24)43(41,42)35-13-12-28(35)31(40)34-27(19-29(38)39)20-8-10-23(11-9-20)30-21(6-2-14-36)4-1-5-22(30)7-3-15-37/h1,4-5,8-11,14-18,27-28H,2-3,6-7,12-13,19H2,(H,34,40)(H,38,39)/t27-,28+/m1/s1"|unknown:JFTDEYZHOOMNFE-IZLXSDGUSA-N|unknown:"OC(=O)C[C@@H](NC(=O)[C@@H]1CCN1S(=O)(=O)c2cc(Cl)cc(Cl)c2)c3ccc(cc3)c4c(CCC=O)cccc4CCC=O"|unknown:chembl312263	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Kopka et al (2002)	pubmed:12161146	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL819075	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:262209"	uniprotkb:P13612	-	-	chembl:CHEMBL100489|unknown:"InChI=1S/C23H19ClN2O5/c24-19-9-5-4-8-18(19)21(27)26-20(22(28)29)14-15-10-12-17(13-11-15)31-23(30)25-16-6-2-1-3-7-16/h1-13,20H,14H2,(H,25,30)(H,26,27)(H,28,29)/t20-/m0/s1"|unknown:JVHUIQRCPAFJFS-FQEVSTJZSA-N|unknown:"OC(=O)[C@H](Cc1ccc(OC(=O)Nc2ccccc2)cc1)NC(=O)c3ccccc3Cl"|unknown:chembl100489	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Castanedo et al (2002)	pubmed:12270174	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL820364|chembl:CHEMBL823502	chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:262114"	uniprotkb:P13612	-	-	chembl:CHEMBL100479|unknown:"InChI=1S/C28H30ClN3O3/c1-31-14-16-32(17-15-31)19-22-6-2-3-7-23(22)21-12-10-20(11-13-21)18-26(28(34)35)30-27(33)24-8-4-5-9-25(24)29/h2-13,26H,14-19H2,1H3,(H,30,33)(H,34,35)/t26-/m0/s1"|unknown:DMLHABDABMJTJN-SANMLTNESA-N|unknown:"CN1CCN(Cc2ccccc2c3ccc(C[C@H](NC(=O)c4ccccc4Cl)C(=O)O)cc3)CC1"|unknown:chembl100479	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Castanedo et al (2002)	pubmed:12270174	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL820364|chembl:CHEMBL823502	chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:227410"	uniprotkb:P13612	-	-	chembl:CHEMBL311335|unknown:"InChI=1S/C25H22Cl2N2O7S/c26-16-10-17(27)12-18(11-16)37(35,36)29-9-8-20(29)25(34)28-19(13-23(32)33)14-4-6-15(7-5-14)24-21(30)2-1-3-22(24)31/h1-7,10-12,19-20,30-31H,8-9,13H2,(H,28,34)(H,32,33)/t19-,20+/m1/s1"|unknown:IWOSOJUGTNLTDY-UXHICEINSA-N|unknown:"OC(=O)C[C@@H](NC(=O)[C@@H]1CCN1S(=O)(=O)c2cc(Cl)cc(Cl)c2)c3ccc(cc3)c4c(O)cccc4O"|unknown:chembl311335	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Kopka et al (2002)	pubmed:12161146	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL819075	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:228361"	uniprotkb:P13612	-	-	chembl:CHEMBL309939|unknown:"InChI=1S/C28H27Cl2FN2O6S/c1-28(10-3-11-33(28)40(37,38)22-13-19(29)12-20(30)14-22)27(36)32-24(16-26(34)35)18-6-4-17(5-7-18)23-15-21(31)8-9-25(23)39-2/h4-9,12-15,24H,3,10-11,16H2,1-2H3,(H,32,36)(H,34,35)/t24-,28+/m1/s1"|unknown:SHJKQMDVCMJGQZ-YWEHKCAJSA-N|unknown:"COc1ccc(F)cc1c2ccc(cc2)[C@@H](CC(=O)O)NC(=O)[C@]3(C)CCCN3S(=O)(=O)c4cc(Cl)cc(Cl)c4"|unknown:chembl309939	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Kopka et al (2002)	pubmed:12161146	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL819075	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:227763"	uniprotkb:P13612	-	-	chembl:CHEMBL81704|unknown:"InChI=1S/C27H23Cl2N3O5S/c28-20-12-21(29)14-22(13-20)38(36,37)32-11-3-6-25(32)27(35)31-24(15-26(33)34)18-9-7-17(8-10-18)23-5-2-1-4-19(23)16-30/h1-2,4-5,7-10,12-14,24-25H,3,6,11,15H2,(H,31,35)(H,33,34)/t24-,25+/m1/s1"|unknown:XJOJWSCSBPXQOS-RPBOFIJWSA-N|unknown:"OC(=O)C[C@@H](NC(=O)[C@@H]1CCCN1S(=O)(=O)c2cc(Cl)cc(Cl)c2)c3ccc(cc3)c4ccccc4C#N"|unknown:chembl81704	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Kopka et al (2002)	pubmed:12161146	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL819075	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:227432"	uniprotkb:P13612	-	-	chembl:CHEMBL419477|unknown:"InChI=1S/C28H28Cl2N2O6S/c1-28(12-5-13-32(28)39(36,37)22-15-20(29)14-21(30)16-22)27(35)31-24(17-26(33)34)19-10-8-18(9-11-19)23-6-3-4-7-25(23)38-2/h3-4,6-11,14-16,24H,5,12-13,17H2,1-2H3,(H,31,35)(H,33,34)/t24-,28+/m1/s1"|unknown:OKZOEBJPNOYKAF-YWEHKCAJSA-N|unknown:"COc1ccccc1c2ccc(cc2)[C@@H](CC(=O)O)NC(=O)[C@]3(C)CCCN3S(=O)(=O)c4cc(Cl)cc(Cl)c4"|unknown:chembl419477	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Kopka et al (2002)	pubmed:12161146	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL819075	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:228368"	uniprotkb:P13612	-	-	chembl:CHEMBL311779|unknown:"InChI=1S/C28H28Cl2N2O7S/c1-38-21-9-10-26(39-2)23(15-21)17-5-7-18(8-6-17)24(16-27(33)34)31-28(35)25-4-3-11-32(25)40(36,37)22-13-19(29)12-20(30)14-22/h5-10,12-15,24-25H,3-4,11,16H2,1-2H3,(H,31,35)(H,33,34)/t24-,25+/m1/s1"|unknown:RGBBQYLDQIXODA-RPBOFIJWSA-N|unknown:"COc1ccc(OC)c(c1)c2ccc(cc2)[C@@H](CC(=O)O)NC(=O)[C@@H]3CCCN3S(=O)(=O)c4cc(Cl)cc(Cl)c4"|unknown:chembl311779	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Kopka et al (2002)	pubmed:12161146	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL819075	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:228370"	uniprotkb:P13612	-	-	chembl:CHEMBL430811|unknown:"InChI=1S/C27H23Cl2F3N2O6S/c28-18-12-19(29)14-20(13-18)41(38,39)34-11-3-5-23(34)26(37)33-22(15-25(35)36)17-9-7-16(8-10-17)21-4-1-2-6-24(21)40-27(30,31)32/h1-2,4,6-10,12-14,22-23H,3,5,11,15H2,(H,33,37)(H,35,36)/t22-,23+/m1/s1"|unknown:XWFPQFIFSTVMSM-PKTZIBPZSA-N|unknown:"OC(=O)C[C@@H](NC(=O)[C@@H]1CCCN1S(=O)(=O)c2cc(Cl)cc(Cl)c2)c3ccc(cc3)c4ccccc4OC(F)(F)F"|unknown:chembl430811	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Kopka et al (2002)	pubmed:12161146	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL819075	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:227635"	uniprotkb:P13612	-	-	chembl:CHEMBL82712|unknown:"InChI=1S/C27H22Cl2F4N2O6S/c28-17-10-18(29)12-20(11-17)42(39,40)35-9-1-2-23(35)26(38)34-22(14-25(36)37)16-5-3-15(4-6-16)21-8-7-19(30)13-24(21)41-27(31,32)33/h3-8,10-13,22-23H,1-2,9,14H2,(H,34,38)(H,36,37)/t22-,23+/m1/s1"|unknown:FQZRKFPOPDBXEO-PKTZIBPZSA-N|unknown:"OC(=O)C[C@@H](NC(=O)[C@@H]1CCCN1S(=O)(=O)c2cc(Cl)cc(Cl)c2)c3ccc(cc3)c4ccc(F)cc4OC(F)(F)F"|unknown:chembl82712	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Kopka et al (2002)	pubmed:12161146	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL819075	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:228363"	uniprotkb:P13612	-	-	chembl:CHEMBL310074|unknown:"InChI=1S/C29H30Cl2N2O7S/c1-29(11-4-12-33(29)41(37,38)23-14-20(30)13-21(31)15-23)28(36)32-25(17-27(34)35)19-7-5-18(6-8-19)24-16-22(39-2)9-10-26(24)40-3/h5-10,13-16,25H,4,11-12,17H2,1-3H3,(H,32,36)(H,34,35)/t25-,29+/m1/s1"|unknown:QMQCRXWZYJCGTE-IRPSRAIASA-N|unknown:"COc1ccc(OC)c(c1)c2ccc(cc2)[C@@H](CC(=O)O)NC(=O)[C@]3(C)CCCN3S(=O)(=O)c4cc(Cl)cc(Cl)c4"|unknown:chembl310074	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Kopka et al (2002)	pubmed:12161146	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL819075	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:227792"	uniprotkb:P13612	-	-	chembl:CHEMBL311303|unknown:"InChI=1S/C29H29Cl2FN2O7S/c1-29(11-4-12-34(29)42(38,39)21-14-19(30)13-20(31)15-21)28(37)33-23(16-25(35)36)17-5-7-18(8-6-17)26-24(40-2)10-9-22(32)27(26)41-3/h5-10,13-15,23H,4,11-12,16H2,1-3H3,(H,33,37)(H,35,36)/t23-,29+/m1/s1"|unknown:UBVDGOCIKFYTND-BTYSJIOQSA-N|unknown:"COc1ccc(F)c(OC)c1c2ccc(cc2)[C@@H](CC(=O)O)NC(=O)[C@]3(C)CCCN3S(=O)(=O)c4cc(Cl)cc(Cl)c4"|unknown:chembl311303	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Kopka et al (2002)	pubmed:12161146	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL819075	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:227374"	uniprotkb:P13612	-	-	chembl:CHEMBL310371|unknown:"InChI=1S/C27H25Cl2FN2O6S/c1-38-22-10-18(9-21(30)14-22)16-4-6-17(7-5-16)24(15-26(33)34)31-27(35)25-3-2-8-32(25)39(36,37)23-12-19(28)11-20(29)13-23/h4-7,9-14,24-25H,2-3,8,15H2,1H3,(H,31,35)(H,33,34)/t24-,25+/m1/s1"|unknown:WMIVVKOPWUGPIJ-RPBOFIJWSA-N|unknown:"COc1cc(F)cc(c1)c2ccc(cc2)[C@@H](CC(=O)O)NC(=O)[C@@H]3CCCN3S(=O)(=O)c4cc(Cl)cc(Cl)c4"|unknown:chembl310371	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Kopka et al (2002)	pubmed:12161146	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL819075	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:227634"	uniprotkb:P13612	-	-	chembl:CHEMBL309971|unknown:"InChI=1S/C28H24Cl2F4N2O6S/c1-27(9-2-10-36(27)43(40,41)21-12-18(29)11-19(30)13-21)26(39)35-23(15-25(37)38)17-5-3-16(4-6-17)22-8-7-20(31)14-24(22)42-28(32,33)34/h3-8,11-14,23H,2,9-10,15H2,1H3,(H,35,39)(H,37,38)/t23-,27+/m1/s1"|unknown:UESVTZGYIZAPSB-KCWPFWIISA-N|unknown:"C[C@]1(CCCN1S(=O)(=O)c2cc(Cl)cc(Cl)c2)C(=O)N[C@H](CC(=O)O)c3ccc(cc3)c4ccc(F)cc4OC(F)(F)F"|unknown:chembl309971	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Kopka et al (2002)	pubmed:12161146	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL819075	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:227666"	uniprotkb:P13612	-	-	chembl:CHEMBL82313|unknown:"InChI=1S/C20H20Cl2N2O6S/c1-30-15-4-2-12(3-5-15)17(11-19(25)26)23-20(27)18-6-7-24(18)31(28,29)16-9-13(21)8-14(22)10-16/h2-5,8-10,17-18H,6-7,11H2,1H3,(H,23,27)(H,25,26)/t17-,18+/m1/s1"|unknown:JSMSAVCWGLIOCE-MSOLQXFVSA-N|unknown:"COc1ccc(cc1)[C@@H](CC(=O)O)NC(=O)[C@@H]2CCN2S(=O)(=O)c3cc(Cl)cc(Cl)c3"|unknown:chembl82313	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)|psi-mi:"MI:0401"(biochemical)	Kopka et al (2002)|Lin et al (2002)	pubmed:12161146|pubmed:11844683	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)|psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL818283|chembl:CHEMBL819075	chembl:medium(ChEMBL given confidence)|chembl:low(ChEMBL given confidence)|miscore:0.5892287
chebi:"CHEBI:227011"	uniprotkb:P13612	-	-	chembl:CHEMBL312458|unknown:"InChI=1S/C26H24Cl2N2O5S/c27-20-13-21(28)15-22(14-20)36(34,35)30-12-4-7-24(30)26(33)29-23(16-25(31)32)19-10-8-18(9-11-19)17-5-2-1-3-6-17/h1-3,5-6,8-11,13-15,23-24H,4,7,12,16H2,(H,29,33)(H,31,32)/t23-,24+/m1/s1"|unknown:KOZDYEZZZJTMAM-RPWUZVMVSA-N|unknown:"OC(=O)C[C@@H](NC(=O)[C@@H]1CCCN1S(=O)(=O)c2cc(Cl)cc(Cl)c2)c3ccc(cc3)c4ccccc4"|unknown:chembl312458	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Kopka et al (2002)	pubmed:12161146	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL819075	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:227810"	uniprotkb:P13612	-	-	chembl:CHEMBL312508|unknown:"InChI=1S/C27H23Cl2F3N2O7S/c1-40-22-3-2-4-23(41-27(30,31)32)25(22)16-7-5-15(6-8-16)20(14-24(35)36)33-26(37)21-9-10-34(21)42(38,39)19-12-17(28)11-18(29)13-19/h2-8,11-13,20-21H,9-10,14H2,1H3,(H,33,37)(H,35,36)/t20-,21+/m1/s1"|unknown:CSTKLRHFUNLLMM-RTWAWAEBSA-N|unknown:"COc1cccc(OC(F)(F)F)c1c2ccc(cc2)[C@@H](CC(=O)O)NC(=O)[C@@H]3CCN3S(=O)(=O)c4cc(Cl)cc(Cl)c4"|unknown:chembl312508	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Kopka et al (2002)	pubmed:12161146	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL819075	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:227796"	uniprotkb:P13612	-	-	chembl:CHEMBL78902|unknown:"InChI=1S/C27H26Cl2N2O7S/c1-27(10-3-11-31(27)39(37,38)20-13-18(28)12-19(29)14-20)26(36)30-21(15-24(34)35)16-6-8-17(9-7-16)25-22(32)4-2-5-23(25)33/h2,4-9,12-14,21,32-33H,3,10-11,15H2,1H3,(H,30,36)(H,34,35)/t21-,27+/m1/s1"|unknown:JBUWUVZCERTELO-ZBLYBZFDSA-N|unknown:"C[C@]1(CCCN1S(=O)(=O)c2cc(Cl)cc(Cl)c2)C(=O)N[C@H](CC(=O)O)c3ccc(cc3)c4c(O)cccc4O"|unknown:chembl78902	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Kopka et al (2002)	pubmed:12161146	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL819075	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:228369"	uniprotkb:P13612	-	-	chembl:CHEMBL78540|unknown:"InChI=1S/C28H25Cl2F3N2O6S/c1-27(11-4-12-35(27)42(39,40)21-14-19(29)13-20(30)15-21)26(38)34-23(16-25(36)37)18-9-7-17(8-10-18)22-5-2-3-6-24(22)41-28(31,32)33/h2-3,5-10,13-15,23H,4,11-12,16H2,1H3,(H,34,38)(H,36,37)/t23-,27+/m1/s1"|unknown:MVWQIHBOKAEOBB-KCWPFWIISA-N|unknown:"C[C@]1(CCCN1S(=O)(=O)c2cc(Cl)cc(Cl)c2)C(=O)N[C@H](CC(=O)O)c3ccc(cc3)c4ccccc4OC(F)(F)F"|unknown:chembl78540	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Kopka et al (2002)	pubmed:12161146	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL819075	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:231703"	uniprotkb:P13612	-	-	chembl:CHEMBL79421|unknown:"InChI=1S/C31H32Cl2N2O5/c1-40-23-14-10-21(11-15-23)19-31(16-3-2-4-17-31)30(39)35-26(29(37)38)18-20-8-12-22(13-9-20)34-28(36)27-24(32)6-5-7-25(27)33/h5-15,26H,2-4,16-19H2,1H3,(H,34,36)(H,35,39)(H,37,38)/t26-/m0/s1"|unknown:RYORRMJPTTXKJW-SANMLTNESA-N|unknown:"COc1ccc(CC2(CCCCC2)C(=O)N[C@@H](Cc3ccc(NC(=O)c4c(Cl)cccc4Cl)cc3)C(=O)O)cc1"|unknown:chembl79421	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Sidduri et al (2002)	pubmed:12161161	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL821110|chembl:CHEMBL819218	chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:232513"	uniprotkb:P13612	-	-	chembl:CHEMBL79844|unknown:"InChI=1S/C29H27Cl3N2O4/c30-21-7-2-1-6-19(21)17-29(14-3-4-15-29)28(38)34-24(27(36)37)16-18-10-12-20(13-11-18)33-26(35)25-22(31)8-5-9-23(25)32/h1-2,5-13,24H,3-4,14-17H2,(H,33,35)(H,34,38)(H,36,37)/t24-/m0/s1"|unknown:ZRQWTHAJLRMPGP-DEOSSOPVSA-N|unknown:"OC(=O)[C@H](Cc1ccc(NC(=O)c2c(Cl)cccc2Cl)cc1)NC(=O)C3(Cc4ccccc4Cl)CCCC3"|unknown:chembl79844	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Sidduri et al (2002)	pubmed:12161161	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL821110|chembl:CHEMBL819218	chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:232201"	uniprotkb:P13612	-	-	chembl:CHEMBL84352|unknown:"InChI=1S/C26H31Cl2N3O4/c1-31(2)15-14-26(12-3-4-13-26)25(35)30-21(24(33)34)16-17-8-10-18(11-9-17)29-23(32)22-19(27)6-5-7-20(22)28/h5-11,21H,3-4,12-16H2,1-2H3,(H,29,32)(H,30,35)(H,33,34)/t21-/m0/s1"|unknown:SNNMAESZUDRGAG-NRFANRHFSA-N|unknown:"CN(C)CCC1(CCCC1)C(=O)N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cccc3Cl)cc2)C(=O)O"|unknown:chembl84352	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Sidduri et al (2002)	pubmed:12161161	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL821110|chembl:CHEMBL819218	chembl:low(ChEMBL given confidence)|miscore:0.40116468
